102   0.160767   0.307422   0.3716  0.160211 0.0331004 0.0528642 0.0533879 
103   0.161256   0.312656   0.365356  0.160733 0.0319503 0.0545987 0.0514599 
104   0.159544   0.318789   0.360156  0.161511 0.0323395 0.053768 0.0515692 
105   0.158456   0.324756   0.354578  0.162211 0.0297306 0.0530943 0.0497386 
106   0.158378   0.330333   0.348533  0.162756 0.0315793 0.0558097 0.0492499 
107   0.1575   0.3369   0.3425  0.1631 0.030777 0.0555662 0.0481977 
108   0.157156   0.342633   0.335678  0.164533 0.0322549 0.056545 0.0436678 
109   0.156256   0.348278   0.329511  0.165956 0.029056 0.0548145 0.0449082 
110   0.154533   0.354989   0.3234  0.167078 0.0293189 0.0548961 0.0415104 
111   0.153844   0.3604   0.317678  0.168078 0.029954 0.0538033 0.0442242 
112   0.152856   0.366744   0.311389  0.169011 0.0292884 0.0536882 0.0410524 
113   0.153   0.371911   0.3044  0.170689 0.0315691 0.0594469 0.0390507 
114   0.152144   0.377011   0.298533  0.172311 0.0282326 0.05457 0.0391876 
115   0.150756   0.382844   0.292567  0.173833 0.0298252 0.0562751 0.0391411 
116   0.1492   0.388033   0.286911  0.175856 0.0285582 0.0555999 0.0391818 
117   0.148444   0.393211   0.2806  0.177744 0.0287203 0.0581675 0.0360776 
118   0.147967   0.397167   0.274778  0.180089 0.028879 0.0560703 0.0354441 
119   0.147911   0.401289   0.269011  0.181789 0.0289271 0.0545491 0.0359082 
120   0.146967   0.405378   0.2629  0.184756 0.028713 0.0550163 0.0337388 
121   0.146056   0.408967   0.257844  0.187133 0.0293827 0.054351 0.0342194 
122   0.1456   0.412478   0.252367  0.189556 0.0298856 0.0548134 0.0335471 
123   0.144233   0.415633   0.2478  0.192333 0.0296312 0.0549905 0.0322978 
124   0.143122   0.419278   0.243267  0.194333 0.0294063 0.0539862 0.0343154 
125   0.141344   0.422289   0.238556  0.197811 0.0288856 0.053485 0.0284734 
126   0.139733   0.4255   0.234222  0.200544 0.0274693 0.0526316 0.0307813 
127   0.138467   0.428556   0.229744  0.203233 0.0273665 0.0544592 0.0304726 
128   0.139333   0.430111   0.224989  0.205567 0.0288048 0.0553755 0.0305615 
129   0.138   0.432667   0.219833  0.2095 0.0275898 0.0563978 0.0278904 
130   0.135789   0.434722   0.216222  0.213267 0.029661 0.0526662 0.0283744 
131   0.135422   0.436744   0.211656  0.216178 0.0291629 0.0532888 0.0283422 
132   0.134544   0.437811   0.208722  0.218922 0.0285954 0.0491364 0.0290913 
133   0.134044   0.4388   0.2052  0.221956 0.0285765 0.0505723 0.0273055 
134   0.133744   0.439467   0.201589  0.2252 0.0286134 0.0500325 0.025831 
135   0.132833   0.439822   0.198967  0.228378 0.0283677 0.0483382 0.0283205 
136   0.131344   0.440189   0.1962  0.232267 0.0282437 0.0474675 0.0251533 
137   0.130856   0.439944   0.193367  0.235833 0.0286493 0.0495526 0.0258324 
138   0.1298   0.440378   0.190456  0.239367 0.0298775 0.0481526 0.0240283 
139   0.128111   0.440978   0.187344  0.243567 0.0288641 0.0507555 0.0247412 
140   0.127633   0.440878   0.185178  0.246311 0.0289256 0.0466758 0.0261393 
